Assigned SE,Company / Account,Activity Type,Date,Need SE Assigned?
SE5,Company28,Discovery,4/12/2023,No
SE5,Company28,Discovery,4/12/2023,No
SE5,Company28,Discovery,4/12/2023,No
SE5,Company28,Discovery,4/12/2023,No
SE5,Company28,Discovery,4/12/2023,No
SE5,Company28,Discovery,4/12/2023,No
SE5,Company8,Discovery,5/3/2023,No
SE5,Company8,Discovery,5/3/2023,No
SE5,Company8,Discovery,5/3/2023,No
SE5,Company131,New Business Meeting,4/19/2023,Yes
SE5,Company133,Discovery,4/12/2023,
SE5,Company133,Discovery,4/12/2023,
SE5,Company133,Discovery,4/24/2023,
SE5,Company96,Deal Progression Call,4/13/2023,No
SE5,Company96,Deal Progression Call,4/13/2023,No
SE5,Company253,Deal Progression Call,4/13/2023,No
SE5,Company253,Deal Progression Call,4/13/2023,No
SE5,Company253,Deal Progression Call,4/13/2023,No
SE5,Company229,New Business Meeting,4/13/2023,
SE5,Company229,New Business Meeting,4/13/2023,
SE5,Company229,Deal Progression Call,5/10/2023,
SE5,Company229,Deal Progression Call,5/10/2023,
SE5,Company133,New Business Meeting,4/18/2023,
SE5,Company133,Discovery,4/26/2023,Yes
SE5,Company229,Discovery,4/28/2023,
SE5,Company229,Discovery,4/28/2023,
SE5,Company229,Discovery,4/28/2023,
SE5,Company229,Discovery,4/28/2023,
SE5,Company196,Deal Progression Call,4/25/2023,
SE5,Company196,Deal Progression Call,4/25/2023,
SE5,Company133,New Business Meeting,4/28/2023,
SE5,Company111,New Business Meeting,4/26/2023,
SE5,Company195,New Business Meeting,5/10/2023,No
SE5,Company128,New Business Meeting,4/28/2023,
SE5,Company128,New Business Meeting,4/28/2023,
SE5,Company269,Discovery,5/4/2023,No
SE5,Company269,Discovery,5/4/2023,No
SE5,Company24,New Business Meeting,5/3/2023,
SE5,Company15,New Business Meeting,5/15/2023,Yes
SE5,Company211,New Business Meeting,5/15/2023,No
SE5,Company133,Deal Progression Call,5/15/2023,
SE5,Company133,Deal Progression Call,5/15/2023,
SE5,Company133,Deal Progression Call,5/12/2023,
SE5,Company133,Deal Progression Call,5/12/2023,
SE5,Company211,Deal Progression Call,5/17/2023,No
SE5,Company133,Deal Progression Call,5/19/2023,
SE5,Company133,Deal Progression Call,5/19/2023,
SE5,Company196,Deal Progression Call,5/15/2023,
SE5,Company225,New Business Meeting,5/30/2023,
SE5,Company225,New Business Meeting,5/30/2023,
SE5,Company229,Discovery,5/25/2023,
SE5,Company211,New Business Meeting,5/24/2023,No
SE5,Company196,Deal Progression Call,5/17/2023,
SE5,Company196,Deal Progression Call,5/17/2023,
SE5,Company133,Deal Progression Call,5/17/2023,
SE5,Company133,Deal Progression Call,5/17/2023,
SE5,Company196,Deal Progression Call,5/19/2023,
SE5,Company24,Deal Progression Call,5/25/2023,
SE5,Company1,Discovery,5/25/2023,Yes
SE5,Company65,Deal Progression Call,5/30/2023,No
SE5,Company65,Deal Progression Call,5/30/2023,No
SE5,Company24,Deal Progression Call,5/25/2023,
SE5,Company133,Deal Progression Call,5/22/2023,
SE5,Company163,Deal Progression Call,5/26/2023,
SE5,Company163,Deal Progression Call,5/26/2023,
SE5,Company196,Deal Progression Call,5/26/2023,
SE5,Company8,Discovery,6/12/2023,No
SE5,Company8,Discovery,6/12/2023,No
SE5,Company8,Discovery,6/12/2023,No
SE5,Company77,Discovery,6/6/2023,No
SE5,Company77,Discovery,6/6/2023,No
SE5,Company8,Discovery,5/31/2023,No
SE5,Company8,Discovery,5/31/2023,No
SE5,Company196,Deal Progression Call,6/1/2023,
SE5,Company196,Deal Progression Call,6/1/2023,
SE5,Company133,Deal Progression Call,6/5/2023,
SE5,Company133,Deal Progression Call,6/5/2023,
SE5,Company269,New Business Meeting,6/7/2023,No
SE5,Company269,New Business Meeting,6/7/2023,No
SE5,Company229,Deal Progression Call,6/6/2023,
SE5,Company229,Deal Progression Call,6/6/2023,
SE5,Company24,Deal Progression Call,6/6/2023,
SE5,Company196,Deal Progression Call,6/5/2023,
